Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_1aa6b253	na	What route will you choose?	game/script.rpy	623	na "[what]"
start_b14b2307	pjmc	*yawn* I'm so tired... I stayed up all night playing otome games.	game/script.rpy	628	pjmc shy "[what]"
start_8040c5ed	pjmc	It`s hard not to when you`re given so many choices, especially when you can punch the male leads. Hehehe!	game/script.rpy	630	pjmc ecstatic "[what]"
start_481f7df6	pjmc	Oh wait! I forgot to introduce myself. My name is [mcname]!	game/script.rpy	632	pjmc scared "[what]"
start_80aae7f9	pjmc	I'm sixteen. Today is my first day of my second year at Gwetome Academy.	game/script.rpy	634	pjmc normal "[what]"
start_bee811a5	pjmc	Ever since my family moved back to Shizuoka, I've been living my high-school life to the fullest.	game/script.rpy	636	pjmc normal "[what]"
start_d0f4d551	pjmc	During my time here, I've come to learn that love isn't the only important thing in life. I'm my own person, with my own goals and dreams, and I'm proud of that. I am independent and strong!	game/script.rpy	638	pjmc normal "[what]"
start_5e96c50c	pjmc	...and I'm late for school.	game/script.rpy	640	pjmc embarrassed "[what]"
s2_89d200b7	na	You put on your uniform and go downstairs.	game/script.rpy	652	na "[what]"
s2_b9375fa2	mother	Good morning! I made you breakfast since I knew you'd wake up late.	game/script.rpy	656	mother "[what]"
s2_d43d78d7	mother	Dad's already left to go work on his new Food Network episode and I'm heading out now. Have fun at school! I'm off!	game/script.rpy	658	mother "[what]"
s2_ddbc1a52	mc	Thanks, have a good day!	game/script.rpy	664	mc ecstatic "[what]"
s2_7ebb0784	na	You happily munch on the breakfast your mother made and pat your belly in satisfaction. Suddenly, the TV turns on, as if it's beckoning you to watch it.	game/script.rpy	666	na "[what]"
s2_740e8889	na	Wait! Is that... the new season of Magical Ikemen?!? It's been a whole year since the last episode!	game/script.rpy	671	na "[what]"
s2_89d05243	na	But... you have school. If you leave now, you still might be able to make it in time.	game/script.rpy	673	na "[what]"
s3_37fe2e03	na	You crawl into your covers again and begin to sleep blissfully; everything is cozy, warm, and peaceful. You begin to dream.	game/script.rpy	685	na "[what]"
s3_71ab2c1e	na	It's your first day of school at Gwetome Academy. Everyone is calling you Naninani Nantoka. But why? You've always been [mcname] haven't you? How strange.	game/script.rpy	687	na "[what]"
s3_1235639e	na	Just as you are about to investigate this, you feel a sudden shake.	game/script.rpy	690	na "[what]" with hpunch
s3_54c71156	mother	Hey!...Hey! Get up! How did I end up with such a lazy child?	game/script.rpy	694	mother "[what]"
s3_181fb2e2	mother	[mcname], school's already started so you need to hurry! I'm off to work now, so I can't help you. I'm off!	game/script.rpy	697	mother "[what]"
s4_f86db25b	na	Wow, look at you all responsible! You discard the temptation of Magical Ikemen and start your trek to school.	game/script.rpy	710	na "[what]"
s4_f2cf2ace	na	You check your phone and see you have more time than you realized. Maybe you'll just quickly look up the information about Magical Ikemen's new season while you walk... you have the time after all.	game/script.rpy	713	na "[what]"
s4_d9403c13	na	Plus, you need to know whether or not Takeshi finally leaves his office job to pursue his dream of becoming a full-time magical girl in the Kiss Kiss Love Power Team.	game/script.rpy	716	na "[what]"
s4_a0a1d111	na	As you scroll through the wonderland that is the Magical Ikemen online forum, you bump into a pole. Ouch.	game/script.rpy	719	na "[what]" with hpunch
s4_a25d8d8a	na	Wow, that's a strangely attractive pole. And it's wearing a... Gwetome Academy uniform!? The pole turns around.	game/script.rpy	721	na "[what]"
s4_d4fd0fdb	joe	Ah sorry, I was walking kind of slow. Are you ok?	game/script.rpy	724	joe "[what]"
s4_c07df339	joe	A lot of people bump into me so my back muscles have become hard like metal. My doctor said it's because I tend to draw people in... I'm magnetic.	game/script.rpy	727	joe "[what]"
s4_e3ac8e22	joe	Heh. Sorry, I'm rambling. Anyways, I'll just uh... keep walking.	game/script.rpy	730	joe "[what]"
s4_419c517f	na	The mysterious ikemen runs his hand through his hair cooly and starts to saunter away.	game/script.rpy	733	na "[what]"
s4_9483da89	na	Your heart is beating fast; you don't know if it's because of his dazzling looks or possible metal poisoning.	game/script.rpy	735	na "[what]"
s4_8be73b71	na	Either way, you should probably get to school. The question is: How?	game/script.rpy	737	na "[what]"
s5_4a35116e	na	The TV has summoned you and you must answer its call. As you sit down on the couch, you see the familiar face of the main character, Kimura Takeshi.	game/script.rpy	749	na "[what]"
s5_67e80c04	na	It looks like he's having a serious talk with the Kiss Kiss Love Power Team, a magical-girl group that saves the world from evil monsters.	game/script.rpy	751	na "[what]"
s5_41d4951a	na	During the last episode, Takeshi was deciding whether or not to keep his office job or pursue his dream of becoming a full-time magical girl. He must be discussing this with them now.	game/script.rpy	753	na "[what]"
s5_63ece29d	mi1	Takeshi... you must make a choice. If we wait any longer, the Dr. will find out your true identity. Either join us or leave us.	game/script.rpy	756	mi1 "[what]"
s5_3498565b	pp	Pyun!	game/script.rpy	758	pp "[what]"
s5_841f38ac	takeshi	But--	game/script.rpy	760	takeshi "[what]"
s5_9e515001	mi2	Takeshi, we meow it's a hard decision, but it's one that must be mwade. nya~	game/script.rpy	762	mi2 "[what]"
s5_89b904e7	takeshi	But... but... what if I'm not cut out to be on the Kiss Kiss Love Power Team? What if I'm not a real magical-girl? If I fail... I can't ever return. Please, give me more--	game/script.rpy	764	takeshi "[what]"
s5_4387a1d1	na	*explosion noise*	game/script.rpy	770	na "[what]" with hpunch
s5_f69c15d0	pp	Pyuuuuuuuuuuun~	game/script.rpy	772	pp "[what]"
s5_7d4bb0b3	mi1	NO! PYUNPYUN!	game/script.rpy	774	mi1 "[what]"
s5_c2eb1a2b	dr	HUEHUEHUEHUEHUE! I will defeat you all one by one!	game/script.rpy	778	dr "[what]"
s5_3ea7bd43	na	Man, they kept the annoying mascot from season 1.	game/script.rpy	780	na "[what]"
s5_8a0693f5	na	Just as the Dr. begins to shoot his sadness missiles at the Kiss Kiss Love Power team, your phone buzzes.	game/script.rpy	782	na "[what]"
s5_32b31ac8	pjmc	Huh?	game/script.rpy	784	pjmc concerned "[what]"
s5_ccad5135	na	Suddenly, a tiny sexy witch emerges out of your phone.	game/script.rpy	786	na "[what]"
s5_c78179c7	pjmc	Mark Zuckerberg?!	game/script.rpy	788	pjmc scared "[what]"
s5_f238e586	riri	Wrong! I'm Riri. My boss told me there was a weeb here so I came to help.	game/script.rpy	793	riri "[what]"
s5_1a293f07	riri	Wait! Are you Naninani Nantoka!?!?	game/script.rpy	795	riri "[what]"
s5_f3752ac1	pjmc	Uh. No. I'm [mcname].	game/script.rpy	797	pjmc normal "[what]"
s5_9d2a46d6	riri	Oh how the great have fallen. *sigh* I used to always hear about you at work--	game/script.rpy	799	riri "[what]"
s5_0dbbb93b	riri	you were determined to get a lover by the end of the school day. On your first day of school! You were my hero... But now... *cries*	game/script.rpy	801	riri "[what]"
s5_89d9c9dd	pjmc	Ummm...	game/script.rpy	803	pjmc normal "[what]"
s5_362e886e	riri	Well no matter Naninani! I'll help you get back on your feet and into the world of romance once again. Let's go!	game/script.rpy	805	riri "[what]"
s5_8343793a	pjmc	Ummmmmmmmm...	game/script.rpy	807	pjmc normal "[what]"
s6_22dde6a8	mc	Ah! I've done it now!	game/script.rpy	816	mc scared "[what]"
s6_dc366843	na	You quickly throw on your uniform, grab a piece of toast, and run out the door.	game/script.rpy	818	na "[what]"
s6_e96b25bb	mc	I'm gonna be late!	game/script.rpy	821	mc scared "[what]"
s6_a6551d7d	na	It isn't long before you find yourself turning a sharp corner... with toast... hmm...	game/script.rpy	823	na "[what]"
s6_01cb7c95	mc	Ah! It hurts!	game/script.rpy	825	mc flirtyjoke "[what]" with hpunch
s6_22cde955	mc	...?	game/script.rpy	827	mc concerned "[what]"
s6_fe8a77ba	mc	Is no one... here?	game/script.rpy	829	mc concerned "[what]"
s6_cc92cff9	na	Wow, you must be really off your game today [mcname]. You look around yourself, stunned... this has never happened before.	game/script.rpy	831	na "[what]"
s6_1adfe024	na	How could you not bump into a hot ikemen while turning a corner with toast in your mouth?!?! Maybe you should try again.	game/script.rpy	833	na "[what]"
s6_f531dc3c	na	You pick up the toast and start walking back to where you started, when you hear a strange noise.	game/script.rpy	835	na "[what]"
s6_492f1ec2	joe	Kyaa~! I'm gonna be late!	game/script.rpy	837	joe "[what]"
s6_2905427a	na	Ah, there it is. You look up and see a hot... pole? No wait! You shake your head to clear your vision.	game/script.rpy	839	na "[what]"
s6_62153426	joe	Sorry, are you ok? I don't know what came over me. I just felt a sudden need to run around that corner.	game/script.rpy	843	joe "[what]"
s6_06f09979	mc	Yeah, I'm alright.	game/script.rpy	845	mc shy "[what]"
s6_415dd181	na	The boy's eyes sparkle as you take his hand and he smoothly pulls you to your feet. Nice.	game/script.rpy	847	na "[what]"
s6_3afbe29c	joe	The name's Joe. I'll see ya!	game/script.rpy	854	joe "[what]"
s6_377dfe44	na	After you both apologize you quickly continue on your way.	game/script.rpy	857	na "[what]"
s7_b31cc3ec	na	Heh... school. Who needs it? You're about to discover the answer to the greatest mystery yet: who is Naninani Nantoka?!	game/script.rpy	863	na "[what]"
s7_55cde90f	na	You rustle back under your blankets, close your eyes, and start to dream again... but this time you are not at school.	game/script.rpy	866	na "[what]"
s7_2a0f28aa	na	You are floating through an endless void. You can't move. You can't breathe. All is silent.	game/script.rpy	868	na "[what]"
s7_7aae62f6	na	Is this what it's like to be in a world with no love? No romance? No ikemens?	game/script.rpy	870	na "[what]"
s7_e353e9ae	na	Your mind succumbs to the darkness.	game/script.rpy	872	na "[what]"
s7_378b930b	mv	...	game/script.rpy	874	mv "[what]"
s7_25384785	mv	You have failed your purpose, [mcname].	game/script.rpy	876	mv "[what]"
s7_0c7f2035	na	...	game/script.rpy	878	na "[what]"
s7_b75b9a0f	na	By the time you wake up, the school year has already ended. You now know your true duty but it is too late, and there is no one left to love you.	game/script.rpy	881	na "[what]"
s7_9a57fad0	na	Weeping, you succumb to the darkness of sleep once more.	game/script.rpy	883	na "[what]"
s8_4acec35a	na	You keep walking to school alone and eventually end up at the front of the school.	game/script.rpy	891	na "[what]"
s8_f0a1b123	na	You notice a poster near the entrance, offering students to join the Student Council	game/script.rpy	893	na "[what]"
s8_c4505120	na	Hmmm... It'd look pretty good on college applications. How hard could it be?	game/script.rpy	895	na "[what]"
s9_0c13f56c	na	His looks are too much to resist... you must talk to him now that you have the chance and time.	game/script.rpy	906	na "[what]"
s9_fac80ca5	na	Looks like being responsible pays off.	game/script.rpy	908	na "[what]"
s9_66f4a98c	mc	Oh... kay, sorry! I didn't see you there.	game/script.rpy	911	mc normal "[what]"
s9_7fc82332	joe	Really? I'm quite hard to miss, you know...	game/script.rpy	914	joe "[what]"
s9_5095ae3a	mc	Is that so? Anyways, what is your name?	game/script.rpy	916	mc normal "[what]"
s9_c556b031	joe	Oh right! The name's Joe-kun, but you can just call me Joe.	game/script.rpy	923	joe "[what]"
s9_d57a7a14	na	His name is... kun?	game/script.rpy	925	na "[what]"
s9_1f9243ef	mc	Well, nice to meet you! My name is [mcname]	game/script.rpy	927	mc normal "[what]"
s9_5d145844	joe	Wow, what a cool name! I'm jealous.	game/script.rpy	930	joe "[what]"
s9_802035e9	joe	I'm just an average Joe, you know? Hahaha!	game/script.rpy	933	joe "[what]"
s9_58e45e0d	na	Seriously, laughing at your own jokes? This guy...	game/script.rpy	935	na "[what]"
s9_0045c5f7	mc	Ha... well, which way are you heading?	game/script.rpy	937	mc concerned "[what]"
s9_56b8b21f	joe	Oh, I've got class this way. It was nice talking to you, see you around!	game/script.rpy	940	joe "[what]"
s10_409155f9	na	You arrive at school... late of course.	game/script.rpy	955	na "[what]"
s10_dfaec1a2	na	What did you expect? After all that you'd still be early? Hah.	game/script.rpy	957	na "[what]"
s10_9ee00201	na	Now [mcname]... you have two options...	game/script.rpy	959	na "[what]"
s10_6b7bcd33	riri	What's this?! Two options of potential love and beauty?!?!	game/script.rpy	965	riri "[what]"
s10_494e5453	riri	Ahhhh I can't wait for you to turn back to your old self again!	game/script.rpy	968	riri "[what]"
s10_4b3da1bb	riri	Listen, Naninani, I have the power of insight.	game/script.rpy	971	riri "[what]"
s10_e809537f	riri	I can help guide you through this love journey.	game/script.rpy	973	riri "[what]"
s10_1f0a951b	riri	But... you need to be the one making the decisions. Got it?	game/script.rpy	975	riri "[what]"
s10_f195acc9	riri	I'll just be over here, and if you need my input just click on me.	game/script.rpy	978	riri "[what]"
s10_dcdc1223	riri	Hehe... hehehehehe...	game/script.rpy	981	riri "[what]"
s11_a31d80b2	na	Skipping class? It looks like you value your education...	game/script.rpy	997	na "[what]"
s11_c00dc702	na	You walk to class and fling open the door.	game/script.rpy	1000	na "[what]"
s11_b591ead1	na	You're here in order to learn! You must study! You have your whole life ahead of you and you're not backing down!	game/script.rpy	1002	na "[what]"
s11_90ea2cf0	mc	Excuse me!	game/script.rpy	1004	mc ecstatic "[what]"
s11_49abcc97	teacher_e	Detention!	game/script.rpy	1007	teacher_e "[what]"
s12_656aaa6a	na	Yea, who needs school anyways? If they really wanted you to be there, they'd make the start of school later than 8:30 AM.	game/script.rpy	1023	na "[what]"
s13_057ad44b	na	Ahhh... detention. A land of hopes and sorrows... youth and forgotten dreams.	game/script.rpy	1030	na "[what]"
s13_c5235991	na	Somehow you always seem to find yourself here.	game/script.rpy	1032	na "[what]"
s13_4426e535	na	You scan the room in order to find familiar faces, but suddenly your attention is caught by the piercing eyes of another student.	game/script.rpy	1034	na "[what]"
s13_9348632b	na	They seem to be staring you down.	game/script.rpy	1036	na "[what]"
s13_a883a10b	na	Oh wait, now they're blinking at you. Or are they winking... with both eyes? Is that morse code?	game/script.rpy	1038	na "[what]"
s13_da63e99b	na	Suddenly you hear the whispers of two delinquents a desk over.	game/script.rpy	1040	na "[what]"
s13_71f141f5	d1	Hey hey, is that Takao Isamu?	game/script.rpy	1047	d1 "[what]"
s13_0a85b945	d2	Takao... Isamu?	game/script.rpy	1051	d2 "[what]"
s13_46b9bf77	d1	You don't know? Their family is yakuza! Apparently they transferred in this school year but haven't said more than two words to anyone. They're super cold.	game/script.rpy	1054	d1 "[what]"
s13_cbfc368d	d2	Ohhhh, yeah yeah I know them. The Panther, huh? I heard they sleep with their eyes open because they have so many enemies.	game/script.rpy	1056	d2 "[what]"
s13_3849a637	d2	They're also rich, hot, have a six pack, and like to brood all the time.	game/script.rpy	1059	d2 "[what]"
s13_394b84ee	d1	Wow... I wish I was that cool.	game/script.rpy	1062	d1 "[what]"
s13_9849e388	na	As you look back over to the yakuza student you notice a majestic tear rolling down their cheek. Wow. What an emotionally conflicted and vulnerable young adult.	game/script.rpy	1066	na "[what]"
s13_35a42126	na	You should totally cause a scene and show them your physical prowess.	game/script.rpy	1068	na "[what]"
s14_06a0b9e3	na	You agree to go and watch Akimitsu's basketball game after school.	game/script.rpy	1085	na "[what]"
s14_2c9fec01	na	How could you not? You've known Akimitsu since you were tiny and basketball has always been really important to him.	game/script.rpy	1087	na "[what]"
s14_a12af1a5	na	Maybe one day you'll be important to him too.	game/script.rpy	1089	na "[what]"
s14_b385d5ba	na	After a short walk out of school the two of you arrive at a small run-down gym.	game/script.rpy	1091	na "[what]"
s14_c60902e7	mc	The final is... here?	game/script.rpy	1095	mc normal "[what]"
s14_c5c16b34	kyle	Yeah! It's just a small local tournament. Nothing to get too excited about.	game/script.rpy	1098	kyle "[what]"
s14_e71d3c17	mc	Oh, got it.	game/script.rpy	1100	mc normal "[what]"
s14_56f236e6	na	The two of you slowly open the door to the gym.	game/script.rpy	1102	na "[what]"
s14_6cd18f79	na	Immediately you are blinded by colorful spotlights and music blasts throughout a ginormous stadium.	game/script.rpy	1104	na "[what]"
s14_228365df	na	The stands are packed with cheering onlookers, their voices roaring like thunder.	game/script.rpy	1106	na "[what]"
s14_5b901068	na	There must be hundreds, no-- thousands of people here!	game/script.rpy	1108	na "[what]"
s14_cf1bc867	na	A basketball court stands in the center.	game/script.rpy	1110	na "[what]"
s14_43dd8f7e	mc	Is this... THE B. LEAGUE FINALS?	game/script.rpy	1112	mc normal "[what]"
s14_8a93eb0b	kyle	Mhm! That's why I didn't want to miss it.	game/script.rpy	1114	kyle "[what]"
s14_97c5792d	kyle	Why don't you grab a seat? I need to get warmed up.	game/script.rpy	1116	kyle "[what]"
s14_7855754f	mc	Uhuh...	game/script.rpy	1118	mc normal "[what]"
s14_2e1fce98	na	Your heart races. Sometimes Akimitsu is a little too humble.	game/script.rpy	1120	na "[what]"
s14_ffab20bf	na	You grab a seat and the game begins. You don't even know what's going on because you keep staring at the Akimitsu fan section.	game/script.rpy	1122	na "[what]"
s14_2c1110a8	beckham	YAAAAAAY AKIMITSU!	game/script.rpy	1124	beckham "[what]"
s14_74391e2c	na	Impressive.	game/script.rpy	1126	na "[what]"
s14_ea0eafb4	na	Soon after, Akimitsu scores a touchdown which is even more impressive because he's playing basketball.	game/script.rpy	1128	na "[what]"
s14_1caa224d	na	He glances your way and flashes a coy smile.	game/script.rpy	1130	na "[what]"
s14_002a20d5	beckham	KYAAAAAAAAAA~ AKIMITSUUUU!!	game/script.rpy	1132	beckham "[what]"
s14_413e0da8	na	Maybe you should move away from the fan section.	game/script.rpy	1134	na "[what]"
s14_e4d237b7	na	The game goes by quickly and Akimitsu's team wins by a landslide.	game/script.rpy	1136	na "[what]"
s14_36db34de	na	You feel a sense of pride, but also distance.	game/script.rpy	1138	na "[what]"
s14_5e92f323	na	The boy you grew up with is a basketball star, and you're just... well... [mcname].	game/script.rpy	1140	na "[what]"
s14_93fc4c15	na	Suddenly a voice from the loudspeakers snaps you out of your thoughts.	game/script.rpy	1142	na "[what]"
s14_17f6e84a	kyle	In honor of this victory, I would like to sing a song. It's dedicated to my favorite person in the world, [mcname]. I love you. *ahem*	game/script.rpy	1145	kyle "[what]"
s15_ed41e663	na	You make a scene. How could you resist after all?	game/script.rpy	1155	na "[what]"
s15_86b57519	na	After throwing a few delinquents out the window with your super muscular muscles...	game/script.rpy	1157	na "[what]"
s15_ff798f2f	na	...Takao Isamu swaggers up to your desk.	game/script.rpy	1159	na "[what]"
s15_cf008c36	sophia	Yo.	game/script.rpy	1162	sophia "[what]"
s15_1ab9a863	mc	Oh, hey.	game/script.rpy	1164	mc flirtyjoke "[what]"
s15_041b2310	sophia	You dropped this.	game/script.rpy	1166	sophia "[what]"
s15_e03acb5a	na	Isamu hands you a small handkerchief with a small cute cat print on it.	game/script.rpy	1168	na "[what]"
s15_d09ffd3c	mc	Oh, that's not mi--	game/script.rpy	1170	mc shy "[what]"
s15_f0526ebb	sophia	Keep it.	game/script.rpy	1173	sophia "[what]"
s15_bbce1d40	na	Isamu coolly grabs their jacket and leaves the room. You can't help but notice a slight blush on their face.	game/script.rpy	1176	na "[what]"
s15_c0a818b4	mc	Huh...	game/script.rpy	1178	mc normal "[what]"
s15_318fa779	na	You unfold the handkerchief to find a piece of paper with a message:	game/script.rpy	1180	na "[what]"
s15_c3b7745b	na	You. Me. Rager party. Tonight? Yes? No? Plz yes. :3 Thank you. - The Panther	game/script.rpy	1183	na "[what]"
s15_e32f3d6f	na	Despite "The Panther"'s horrible grammar, your heart skips a beat. Are they asking you... on a date?	game/script.rpy	1185	na "[what]"
s16_3316ae7e	na	What a waste, they even winked at you!	game/script.rpy	1200	na "[what]"
s16_7dc3dec6	na	Well, anyways... You decide to wait out detention. Maybe it was a bad idea to interact anyways.	game/script.rpy	1202	na "[what]"
s16_9f409b64	na	Man, it was your first day and you got detention. Honestly, I'm impressed.	game/script.rpy	1207	na "[what]"
s16_0d2cb896	na	Whoa! What was that?! It felt like an earthqua-	game/script.rpy	1211	na "[what]" with hpunch
s16_a294145d	na	...Oh. It was you? Wow, you must be hungry.	game/script.rpy	1213	na "[what]"
s16_e5a333aa	na	You happen to spot a Hoshibucks. It'll be a pretty penny, but a Caramel Ribbon Crunch Frappe sounds pretty good right about now.	game/script.rpy	1215	na "[what]"
s17_14dbab7b	na	Yutaka scolds you for skipping class.	game/script.rpy	1222	na "[what]"
s17_95ff5caf	na	After some thinking, you decide that this treatment isn't fair in the slightest!	game/script.rpy	1224	na "[what]"
s17_de159299	na	Maybe you want to skip class? He shouldn't be able to stop you! This is a free country!	game/script.rpy	1226	na "[what]"
s17_2f726362	mc	I refuse! You shouldn't be able to send me back to class!	game/script.rpy	1228	mc angry "[what]"
s17_84ed5ec1	mc	What are you doing out of class, huh? I'll make you go back!	game/script.rpy	1230	mc angry "[what]"
s17_a44cf1bb	na	Yutaka stares at you for a moment, then a small grin appears on his face.	game/script.rpy	1233	na "[what]"
s17_bbce0c70	jt	Ah, people like you are my favorite!	game/script.rpy	1236	jt "[what]"
